,MARCA_lvhtn
IKA  TORINO  300,1
EL ANOCHECER,1
RURAL,1
SEDAN,1
DUNLOP,1
SANTINELLI,1
CHYSLER-DODGE,1
271-GALLOPER,1
IKA KAISER,1
MAXION,1
D.K.W. AUTO UNION,1
JAVA,1
PEUGEOT 505 FULL,1
001019FORD,1
MAZDA 626,1
RASTROJERO DIEEL,1
ARIAS,1
JEEP UNIVERS,1
DAIMLER BENZ,1
GENTILINI,1
EL AMANECER,1
HANG JIANG,1
A.F.F (KANDUS),1
SUNITO,1
MUMELI,1
   F,1
RENALT 4-L,1
MERCEDEZ-BENZ,1
MAZDA (GB2C),1
MERCEBEZ-BENZ,1
JAYCO,1
YUEJIN                        ,1
RASTROJERO D,1
SSANGYONG                     ,1
250108CHEVROLET,1
SORZINI,1
RAMBLER -IKA,1
ALFA ROMEEO,1
GONELLA,1
UNIDAD RECONSTRUIDA,1
H. C. MANCINI,1
ACOPLADO CEREALERO,1
INDOL,1
IKA TORINO 300-8,1
VALIANT IV CORONADO,1
ACURA,1
DINARG,1
PAMPAZUL,1
MA-RI-SU,1
BONDNAR STONAG,1
M. BENZ                       ,1
ARMADO FUERA DE FAFRICA,1
INTEGRAL                      ,1
UNION DKW,1
FRANTFORD,1
CHRYSLER-DODGE-,1
CHYRSLER,1
RENAULT            1,1
PERKINS,1
PECORARO,1
T M,1
ROSSO-LEONE,1
FIAT.                         ,1
JEEP GLADIADOR X SUPER,1
FRUSSO,1
PRATTI FRUEHAUF,1
FORD V-8,1
1963,1
SENECHAL,1
FORD FALCON FUTURA,1
FIAT                         6,1
SOFFIANTINO,1
LE ZEBRE,1
VALIANT 3,1
FERMAG,1
UNIC,1
ROSSI/ACOPLADO/1962,1
F.S.O,1
MERCEDES BENZ UNIMOG,1
FORD REARMADO,1
DITELLA-ARGENTA,1
FH,1
RESTANCIERA IKA,1
DODGE G.T.,1
ICNEC                         ,1
SANGYONG,1
MERDECES BENZ,1
SUZUKI JLK,1
ITALA,1
SUSUKI VITARA,1
DEFFEO VETTORE,1
FERRONI S.A,1
LANDROVER,1
EL CORE,1
ROSARIO TANQUES S.C.,1
AMILCAR,1
DONG FENG,1
LEYLAND HIPO,1
G.T.,1
WOLSELEY,1
R E N A U L T,1
FIAT STATION WAGON,1
BERTOLUSSI,1
JEPP-IKA,1
FIAT DUNA SDL,1
CHEVROLET11369,1
DODGE                 DO,1
PRATI FREUHAUF,1
SANTIAGO I.NUMELLI,1
FANTAR,1
CHYSLER,1
SOLA Y BRUSA S.A.,1
SUSUZKI VITARA,1
AUSTIN MINI COOPER,1
RASTROGERO DIESEL,1
TOSTO,1
PANHARD,1
D.K.W,1
MDS METALURGICA DEL SUR,1
AUTO UNION D.K.W.,1
MONTENEGRO.,1
RENAULT DAMPHINE IKA,1
FIAT 147 DIESEL,1
GMC CHEVETTE (GEN. MOT. CORP.),1
FIAT DUNA S 1.7 DIESEL A/A,1
WITZCO CHALLENGER,1
IKA S.A,1
O M,1
 C.M.,1
LAND ROVER                    ,1
FORD F.600,1
PRATI FRIEHAUF,1
FORD ESCORT,1
-47- FORD,1
EL SOL DE ACPL. RURALES ARG.,1
DAEWWO,1
ARMADO FUERA DE,1
RASTOJERO,1
FIAT AUTO ARGENTINA S. A.,1
FORD THUNDERBIRD,1
SIN IDENTIFICACION            ,1
TORRECETTI,1
MONTENEGRO                    ,1
----------,1
N.N.,1
ERMIVA,1
UTILITY,1
RENAULT  (112),1
403,1
POR-PAR,1
BODNAR STENAC,1
BMW ISETTA,1
CHANDLER,1
FORD 1964,1
FIAT *U S O  R E M I S S E*,1
047 FORD,1
MONTEGRO,1
FORD COURIER,1
WAGEN,1
17 - FIAT,1
SOLA Y BRUSA                  ,1
RENAULT 4 FURGONNETTE,1
CARGUERO IKA,1
CHEVROLET------,1
PAUNY,1
RENAULT DAUPHINE-IKA,1
CHEVROLET CHEVELLE,1
MONARCA,1
IKA TORINO 300S,1
LOTUS,1
ELIO AGUSTIN GROSSO SACIFIA,1
GMC CHEVETTE GRAL.MOTORS CORP,1
YACONIS Y MIGLIERINA,1
12/11/1969,1
CHEVROLET C-20 CREW,1
GIORDINI IKA,1
CAMIONETA,1
S10 2.8 T.I.,1
CARACOL,1
FORD 350,1
SUZUKI SAMURAI,1
AMERICAN,1
RIDAO,1
DAIAHTSU,1
MORRIS TRAVELLER,1
H.C MANCINI,1
FRAMBRETTA,1
SEDAN 4 PTAS,1
176A30005248383FIAT,1
AZAM-M28,1
RODAR,1
L,1
8.0027891,1
KAISER IKA,1
ESTANCIERA-IKA,1
FORD MERCURY,1
HELBETICA,1
#NAME?,1
WILLIS KAISER,1
CHRYSLER - DODGE,1
TRACO,1
PLYMONTH,1
YANTAI,1
IKA - JEEP,1
AASDAS,1
SUZUKI SWIFT G.TI,1
BAQUEANO IKA500,1
LEO CAR,1
GRAN PAIGE,1
DI TELLA MAGNETTE,1
GMC(GENERAL MOTORS CORPORATION,1
FIAT/INNOCENTI,1
A. ROMEO,1
FENSKE,1
SAAB SCANIA                   ,1
PETERBILT,1
SCANIA.-,1
RAMBLER CLASSIC,1
BEIJING,1
11 TS,1
CAMPING NAUTICA SUR,1
C H E V R O L E T,1
CHEVROLET SUPER,1
SUNBEAM,1
GNC,1
PARRAQUINI,1
DYNA DIESEL,1
PEUGEOT 404,1
RASTRAJERO D,1
V.DOORNE,1
VOLKS,1
B. METALURGICA BELGRANO SRL,1
FIAT SEAT,1
METALURGICA FRANK,1
BERGANTIN,1
